 
"Brand Name",Date,Turnover
O-Brand,2018-05-01,8400.2754
T-Brand,2018-05-01,17937.5267
R-Brand,2018-05-01,25360.9355
I-Brand,2018-05-01,6557.3555
U-Brand,2018-05-01,21321.1046
O-Brand,2018-05-02,8716.4176
T-Brand,2018-05-02,31883.1597
R-Brand,2018-05-02,9239.4608
I-Brand,2018-05-02,4343.5701
U-Brand,2018-05-02,20508.1156
O-Brand,2018-05-03,6356.7745
T-Brand,2018-05-03,615.8050
R-Brand,2018-05-03,31906.8202
I-Brand,2018-05-03,8174.3907
U-Brand,2018-05-03,26504.6580
O-Brand,2018-05-04,473.7709
T-Brand,2018-05-04,16501.1961
R-Brand,2018-05-04,31444.7097
I-Brand,2018-05-04,27490.9335
U-Brand,2018-05-04,26617.5648
O-Brand,2018-05-05,23896.9628
T-Brand,2018-05-05,31167.3407
R-Brand,2018-05-05,6837.4816
I-Brand,2018-05-05,2965.9286
U-Brand,2018-05-05,29715.8737
O-Brand,2018-05-06,2190.4093
T-Brand,2018-05-06,1015.7820
R-Brand,2018-05-06,21181.0297
I-Brand,2018-05-06,25626.2807
U-Brand,2018-05-06,30196.0357
O-Brand,2018-05-07,25875.9444
T-Brand,2018-05-07,20698.6162
R-Brand,2018-05-07,7847.5756
I-Brand,2018-05-07,4244.4251
U-Brand,2018-05-07,7593.2667
